financial_institution_name,count
ABC-BRASIL (conglomerado),7
AGIBANK (conglomerado),7
"AGORACRED S/A SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO",7
"AL5 S.A. CRÉDITO, FINANCIAMENTO E INVESTIMENTO",7
ALFA (conglomerado),7
ANDBANK (conglomerado),7
BANCO ARBI S.A.,7
BANCO CNH INDUSTRIAL CAPITAL S.A.,7
BANCO CSF S.A.,7
BANCO DA AMAZONIA S.A.,7
BANCO OURINVEST S.A.,7
BANCO DIGIMAIS S.A.,7
BANCO DO ESTADO DO PARÁ S.A.,7
BANCO DO ESTADO DE SERGIPE S.A.,7
BANCO DO NORDESTE DO BRASIL S.A.,7
BANCO PAULISTA S.A.,7
BANCO SEMEAR S.A.,7
BANCO INBURSA S.A.,7
BARIGUI (conglomerado),7
BB (conglomerado),7
BMG (conglomerado),7
BNP PARIBAS (conglomerado),7
BANRISUL (conglomerado),7
BANESTES (conglomerado),7
BANCO TRIANGULO S.A.,7
BANCO TOPÁZIO S.A.,7
RENDIMENTO (conglomerado),7
PORTO SEGURO (conglomerado),7
"PORTOCRED S.A. - CREDITO, FINANCIAMENTO E INVESTIMENTO",7
"REALIZE CRÉDITO, FINANCIAMENTO E INVESTIMENTO S.A.",7
PARANÁ BANCO (conglomerado),7
"PARATI - CREDITO, FINANCIAMENTO E INVESTIMENTO S.A.",7
"PEFISA S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO",7
PINE (conglomerado),7
BRADESCO (conglomerado),7
BRB (conglomerado),7
COLOMBO (conglomerado),7
CITIBANK (conglomerado),7
CCB (conglomerado),7
"CARUANA S.A. - SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO",7
CAIXA ECONÔMICA FEDERAL (conglomerado),7
C6 BANK (conglomerado),7
FACTA FINANCEIRA S.A. - CRÉDITO FINANCIAMENTO E INVESTIMENTO,7
"FINAMAX S.A. - CREDITO, FINANCIAMENTO E INVESTIMENTO",7
GM (conglomerado),7
GENIAL (conglomerado),7
GRUPO BONSUCESSO - BS2 (conglomerado),7
GRUPO ZEMA (conglomerado),7
CREFISA (conglomerado),7
DAYCOVAL (conglomerado),7
"LEBES FINANCEIRA S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO",7
MERCANTIL DO BRASIL (conglomerado),7
ITAU (conglomerado),7
"JBCRED S.A. SOCIEDADE DE CREDITO, FINANCIAMENTO E INVESTIMENTO",7
INTER (conglomerado),7
INDUSTRIAL DO BRASIL (conglomerado),7
HONDA (conglomerado),7
HERVAL - HS (conglomerado),7
SAFRA (conglomerado),7
RODOBENS (conglomerado),7
"MIDWAY S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO",7
MERCEDES-BENZ (conglomerado),7
PAGBANK-PAGSEGURO (conglomerado),7
ORIGINAL (conglomerado),7
OMNI (conglomerado),7
NUBANK (conglomerado),7
MODAL (conglomerado),7
NOVO BANCO CONTINENTAL S.A. - BANCO MÚLTIPLO,7
VOTORANTIM (conglomerado),7
WESTERN UNION (conglomerado),7
YAMAHA MOTOR (conglomerado),7
SOFISA (conglomerado),7
"SOCINAL S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO",7
SANTANDER (conglomerado),7
"VIA CERTA FINANCIADORA S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTOS",7
VOLKSWAGEN (conglomerado),7
BTG PACTUAL/BANCO PAN (conglomerado),6
BMW (conglomerado),6
"NEGRESCO S.A. - CREDITO, FINANCIAMENTO E INVESTIMENTOS",6
SOROCRED (conglomerado),6
VOLVO (conglomerado),6
SICREDI (conglomerado),6
BANCO SICOOB (conglomerado),6
"FC FINANCEIRA S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO",6
BANCO FIBRA S.A.,6
MASTER (conglomerado),6
XP (conglomerado),6
M PAGAMENTOS S.A. - CRÉDITO FINANCIAMENTO E INVESTIMENTO,6
MERCADO CRÉDITO (conglomerado),6
