employer_website,employer_headquarters,employer_founded,employer_industry,employer_revenue,general_score,culture_values_score,diversity_inclusion_score,life_quality_score,senior_leadership_score,compensation_benefits_score,career_opportunities_score,recommendation_score,company_positive_score,segment,financial_institution_name,cnpj,state_employer_headquarters,country_employer_headquarters,employer_founded_correct
http://www.alfanet.com.br,"São Paulo, Brasil",1925.0,"/Explorar/melhores-serviços-bancários-e-de-crédito-empresas_II.9,40_IIND200048.htm",Desconhecida/não se aplica,3.5,3.2,3.2,3.1,2.8,3.8,2.7,68.0,47.0,S3,ALFA,,São Paulo,Brasil,1925
http://www.apexgroup.com,"Hamilton, Bermuda",2003.0,"/Explorar/melhores-gestão-de-ativos-e-investimentos-empresas_II.9,41_IIND200146.htm",Mais de US$ 10 bilhões,3.2,2.9,3.5,3.0,2.9,2.7,3.2,52.0,53.0,,APE POUPEX,00655522,Hamilton,Bermuda,2003
http://www.apexgroup.com,"Hamilton, Bermuda",2003.0,"/Explorar/melhores-gestão-de-ativos-e-investimentos-empresas_II.9,41_IIND200146.htm",Mais de US$ 10 bilhões,3.2,2.9,3.4,3.0,2.9,2.7,3.2,50.0,52.0,S3,APE POUPEX,,Hamilton,Bermuda,2003
https://www.daycoval.com.br,"São Paulo, Brasil",1971.0,"/Explorar/melhores-serviços-bancários-e-de-crédito-empresas_II.9,40_IIND200048.htm",De US$ 25 a US$ 100 milhões,4.0,3.7,3.6,3.4,3.3,4.1,3.4,78.0,72.0,S3,BANCO DAYCOVAL S.A,,São Paulo,Brasil,1971
https://www.bb.com.br,"Brasília, Brasil",1808.0,"/Explorar/melhores-serviços-bancários-e-de-crédito-empresas_II.9,40_IIND200048.htm",Desconhecida/não se aplica,4.3,3.9,4.0,3.7,3.5,4.2,3.8,86.0,72.0,S1,BANCO DO BRASIL,,Brasília,Brasil,1808
http://www.bnb.gov.br,"Fortaleza, Brasil",,"/Explorar/melhores-gestão-de-ativos-e-investimentos-empresas_II.9,41_IIND200146.htm",Desconhecido/Não se aplica,4.5,4.4,4.3,4.3,4.1,4.2,4.0,90.0,83.0,S2,BANCO DO NORDESTE DO BRASIL S.A.,,Fortaleza,Brasil,
http://www.bancofibra.com.br,"São Paulo, Brasil",,"/Explorar/melhores-serviços-bancários-e-de-crédito-empresas_II.9,40_IIND200048.htm",Desconhecida/não se aplica,4.3,4.3,4.3,3.8,3.7,4.2,3.6,87.0,84.0,S3,BANCO FIBRA S.A.,,São Paulo,Brasil,
http://www.smfg.co.jp,"Tóquio, Japão",1996.0,"/Explorar/melhores-gestão-de-ativos-e-investimentos-empresas_II.9,41_IIND200146.htm",Mais de US$ 10 bilhões,3.4,3.2,3.3,3.4,3.1,3.3,3.1,56.0,53.0,,BANCO SUMITOMO MITSUI BRASIL S.A.,60518222,Tóquio,Japão,1996
http://www.smfg.co.jp,"Tóquio, Japão",1996.0,"/Explorar/melhores-gestão-de-ativos-e-investimentos-empresas_II.9,41_IIND200146.htm",Mais de US$ 10 bilhões,3.4,3.3,3.2,3.4,3.1,3.3,3.1,56.0,54.0,S3,BANCO SUMITOMO MITSUI BRASIL S.A.,,Tóquio,Japão,1996
http://www.bk.mufg.jp/global,"Tóquio, Japão",1919.0,"/Explorar/melhores-gestão-de-ativos-e-investimentos-empresas_II.9,41_IIND200146.htm",Mais de US$ 10 bilhões,3.6,3.6,3.5,3.4,3.3,3.6,3.3,65.0,43.0,S3,BANCO TOKYO-MITSUBISHI BM S.A.,,Tóquio,Japão,1919
http://www.banrisul.com.br,"Porto Alegre, Brasil",,"/Explorar/melhores-serviços-bancários-e-de-crédito-empresas_II.9,40_IIND200048.htm",De US$ 25 a US$ 100 milhões,4.2,3.6,3.8,3.7,3.4,4.1,3.3,84.0,59.0,S2,BANRISUL,,Porto Alegre,Brasil,
http://www.bancobmg.com.br,"São Paulo, Brasil",1930.0,"/Explorar/melhores-serviços-bancários-e-de-crédito-empresas_II.9,40_IIND200048.htm",De US$ 1 a US$ 5 milhões,4.1,3.9,4.1,3.7,3.6,4.2,3.5,79.0,63.0,S3,BMG,,São Paulo,Brasil,1930
